Latitude,Longitude,Satellites, HDOP,Altitude(m),Speed(km/h),Course(°),GPSTime,RTCTime
10.827728,106.696166,10,187,13.1,0,0,12:46:09,
10.827732,106.696166,10,187,13.08,0,0,12:46:13,
10.827732,106.696174,10,187,13.36,0,0,12:46:25,
10.827726,106.696182,10,187,13.38,0,0,12:46:28,
10.827718,106.696182,11,182,13.37,0,0,12:46:37,
10.827714,106.696182,11,182,13.42,0,0,12:46:42,
10.827713,106.696182,11,182,13.46,0,0,12:46:45,
10.827712,106.696174,11,182,13.45,0,0,12:46:49,
0.827695,106.696182,11,182,13.39,0,0,12:46:58,
10.827692,107.696189,11,182,13.38,0,0,12:47:01,
10.827673,106.696189,11,182,13.36,0,0,12:47:04,
10.82769,106.696189,11,182,13.37,0,0,12:47:07,
10.827687,106.696182,11,182,13.41,0,0,12:47:10,
10.811021,106.696189,11,182,3.44,0,0,12:47:14,
10.82769,106.696189,11,182,13.47,0,0,12:47:17,
10.827689,106.696189,11,182,13.48,0,0,12:47:22,
10.827685,106.696189,11,182,13.34,0,0,12:47:29,
10.827681,106.696189,11,182,13.3,0,0,12:47:35,
10.827675,106.696197,11,182,13.29,0,0,12:47:38,
10.827836,106.696197,11,183,13.27,0,0,12:47:42,
10.827669,106.696197,11,183,13.25,0,0,12:47:46,
10.82767,106.696197,11,183,13.28,0,0,12:47:50,
10.827663,106.696197,11,183,13.35,0,0,12:47:55,
10.827666,106.696189,11,183,13.32,0,0,12:48:01,
10.827667,106.696182,11,183,13.37,0,0,12:48:05,
10.827667,106.696182,11,183,13.43,0,0,12:48:08,
10.827667,106.696182,11,183,13.48,0,0,12:48:11,
10.827666,106.696182,11,183,13.49,0,0,12:48:16,
10.827667,106.696182,11,183,13.51,0,0,12:48:20,
10.827667,106.696182,11,183,13.55,0,0,12:48:23,
10.827663,106.696182,11,183,13.48,0,0,12:48:26,
10.827657,106.696174,11,184,13.51,0,0,12:48:29,
10.827649,6.69618,11,183,13.5,0,0,12:48:33,
10.827647,106.696182,10,203,13.49,0,0,12:48:36,
10.827645,106.696182,11,184,13.5,0,0,12:48:39,
10.827639,106.696182,11,183,13.65,0,0,12:48:45,
10.827633,106.696174,11,183,13.76,0,0,12:48:48,
10.827625,106.696174,11,183,13.94,0,0,12:48:51,
10.82763,106.696166,11,183,13.88,0,0,12:48:54,
10.827653,106.696159,10,203,13.71,0,0,12:49:04,
10.827657,106.696159,9,222,13.7,0,0,12:49:07,
10.827662,106.696159,9,222,13.68,0,0,12:49:10,
10.827664,106.696159,9,222,13.67,0,0,12:49:13,
10.827666,106.696151,9,222,13.68,0,0,12:49:18,
10.827667,107.696151,9,222,13.68,0,0,12:49:21,
10.827497,106.679489,9,222,13.63,0,0,12:49:25,
10.82766,106.696151,10,204,13.63,0,0,12:49:29,
10.82766,106.696151,10,203,13.63,0,0,12:49:32,
10.82766,106.696151,11,184,13.68,0,0,12:49:37,
10.82766,106.696151,10,204,13.66,0,0,12:49:40,
10.82766,106.696144,11,184,13.66,0,0,12:49:43,
10.827662,106.696144,11,184,13.61,0,0,12:49:47,
10.827658,106.679489,11,184,13.76,0,0,12:49:50,
10.827652,106.696166,11,184,13.81,0,0,12:49:57,
10.82765,106.696174,11,184,13.77,0,0,12:50:04,
10.827649,106.696174,11,184,13.84,0,0,12:50:07,
10.82765,106.696174,11,184,13.89,0,0,12:50:11,
10.827652,106.696174,11,184,13.86,0,0,12:50:14,
10.827654,106.683334,11,184,13.97,0,0,12:50:17,
10.827652,106.696174,11,100,14.11,0,0,12:50:22,
0.827647,106.696174,11,185,13.98,0,0,12:50:25,
10.827644,106.696166,11,185,13.88,0,0,12:50:29,
10.827645,106.696166,11,185,13.85,0,0,12:50:32,
10.827649,106.696166,11,185,13.75,0,0,12:50:38,
10.827647,106.696166,11,185,13.79,0,0,12:50:41,
10.827645,106.696166,11,185,13.79,0,0,12:50:44,
10.827643,106.696166,11,185,13.76,0,0,12:50:47,
0.827639,106.696166,11,185,13.67,0,0,12:50:53,
10.827642,106.696166,11,185,13.53,0,0,12:50:58,
10.829306,106.696166,11,185,13.4,0,0,12:51:04,
10.827641,106.696166,11,185,13.36,0,0,12:51:08,
10.827654,106.696166,11,185,13.31,0,0,12:51:13,
10.827666,106.696144,11,185,13.35,0,0,12:51:18,
10.811004,106.696159,11,185,13.46,0,0,12:51:25,
10.827677,106.696151,11,184,13.46,0,0,11:51:29,
10.827686,106.696159,10,185,13.4,0,0,12:51:33,
10.827693,106.696166,11,185,13.4,0,0,12:51:38,
10.827695,106.696159,10,185,13.44,0,0,12:51:42,
10.827693,106.696159,11,185,13.46,0,0,12:51:46,
10.827692,106.696166,11,185,13.53,0,0,12:51:51,
10.827687,106.696159,11,185,13.54,0,0,12:51:55,
10.827681,106.696151,11,185,13.52,0,0,12:51:58,
10.827677,106.696151,11,185,13.51,0,0,12:52:01,
10.827673,106.696151,11,185,13.6,0,0,12:52:04,
10.827673,106.696151,11,185,13.73,0,0,12:52:07,
10.827672,106.696151,11,185,13.83,0,0,12:52:10,
10.827672,106.696151,11,185,13.95,0,0,12:52:13,
10.827677,106.696151,11,185,14.12,0,0,12:52:17,
